Date,Country,Month,Year,Temp
1901-01-01,Austria,1,1901,-6.996
1901-01-01,Bahrain,1,1901,14.775
1901-01-01,Belarus,1,1901,-7.0
1901-01-01,Belgium,1,1901,0.0359999999999998
1901-01-01,Bulgaria,1,1901,-3.825
1901-01-01,Czech Republic,1,1901,-6.284
1901-01-01,France,1,1901,5.966
1901-01-01,Hong Kong,1,1901,18.077
1901-01-01,Hungary,1,1901,-6.181
1901-01-01,Iceland,1,1901,-1.836
1901-01-01,India,1,1901,16.172
1901-01-01,Ireland,1,1901,4.981000000000001
1901-01-01,Italy,1,1901,2.92
1901-01-01,Japan,1,1901,1.897
1901-01-01,Kuwait,1,1901,11.627
1901-01-01,Latvia,1,1901,-5.132999999999999
1901-01-01,Macedonia,1,1901,-4.353
1901-01-01,Philippines,1,1901,25.395000000000003
1901-01-01,Poland,1,1901,-6.439
1901-01-01,Portugal,1,1901,8.062000000000001
1901-01-01,Qatar,1,1901,16.373
1901-01-01,Romania,1,1901,-7.001
1901-01-01,Saudi Arabia,1,1901,14.822
1901-01-01,Singapore,1,1901,25.747
1901-01-01,Slovakia,1,1901,-7.158
1901-01-01,South Africa,1,1901,22.154
1901-01-01,South Korea,1,1901,-0.2689999999999999
1901-01-01,Spain,1,1901,5.718999999999999
1901-01-01,Switzerland,1,1901,-3.269
1901-01-01,Syria,1,1901,4.518000000000002
1901-01-01,Turkey,1,1901,-1.5769999999999995
1901-01-01,Turkmenistan,1,1901,-0.205
1901-01-01,Ukraine,1,1901,-6.713000000000001
1901-01-01,United Arab Emirates,1,1901,17.88
1901-01-01,United Kingdom,1,1901,3.695
1901-01-01,Venezuela,1,1901,24.541
1901-01-01,Vietnam,1,1901,20.774
1901-02-01,Argentina,2,1901,19.975
1901-02-01,Austria,2,1901,-7.045
1901-02-01,Bahrain,2,1901,16.835
1901-02-01,Belarus,2,1901,-7.349
1901-02-01,Belgium,2,1901,-1.6020000000000003
1901-02-01,Bulgaria,2,1901,0.409
1901-02-01,Czech Republic,2,1901,-5.880000000000001
1901-02-01,France,2,1901,4.069
1901-02-01,Hong Kong,2,1901,12.743000000000002
1901-02-01,Hungary,2,1901,-3.524
1901-02-01,Iceland,2,1901,-2.448
1901-02-01,India,2,1901,18.506
1901-02-01,Ireland,2,1901,3.662
1901-02-01,Italy,2,1901,1.808
1901-02-01,Japan,2,1901,0.4140000000000001
1901-02-01,Kuwait,2,1901,15.826
1901-02-01,Latvia,2,1901,-7.638
1901-02-01,Macedonia,2,1901,0.5770000000000001
1901-02-01,Philippines,2,1901,23.776
1901-02-01,Poland,2,1901,-5.99
1901-02-01,Portugal,2,1901,6.818
1901-02-01,Qatar,2,1901,17.643
1901-02-01,Romania,2,1901,-3.192
1901-02-01,Saudi Arabia,2,1901,18.319000000000003
1901-02-01,Singapore,2,1901,25.802000000000003
1901-02-01,Slovakia,2,1901,-5.605
1901-02-01,South Africa,2,1901,22.172
1901-02-01,South Korea,2,1901,-1.978
1901-02-01,Spain,2,1901,4.0600000000000005
1901-02-01,Switzerland,2,1901,-5.877999999999999
1901-02-01,Syria,2,1901,11.263000000000002
1901-02-01,Turkey,2,1901,3.789
1901-02-01,Turkmenistan,2,1901,3.908
1901-02-01,Ukraine,2,1901,-4.319
1901-02-01,United Arab Emirates,2,1901,19.041
1901-02-01,United Kingdom,2,1901,2.6460000000000004
1901-02-01,Venezuela,2,1901,25.206
1901-02-01,Vietnam,2,1901,17.38
1901-03-01,Argentina,3,1901,18.009
1901-03-01,Austria,3,1901,0.8340000000000002
1901-03-01,Bahrain,3,1901,21.459000000000003
1901-03-01,Belarus,3,1901,-1.3869999999999998
1901-03-01,Belgium,3,1901,3.788
1901-03-01,Bulgaria,3,1901,7.009
1901-03-01,Czech Republic,3,1901,1.5970000000000002
1901-03-01,France,3,1901,8.107000000000001
1901-03-01,Hong Kong,3,1901,17.581
1901-03-01,Hungary,3,1901,5.078
1901-03-01,Iceland,3,1901,-2.093
1901-03-01,India,3,1901,23.703000000000003
1901-03-01,Ireland,3,1901,5.055
1901-03-01,Italy,3,1901,7.44
1901-03-01,Japan,3,1901,4.041
1901-03-01,Kuwait,3,1901,20.919
1901-03-01,Latvia,3,1901,-2.753
1901-03-01,Macedonia,3,1901,7.690999999999999
1901-03-01,Philippines,3,1901,25.74
1901-03-01,Poland,3,1901,1.208
1901-03-01,Portugal,3,1901,10.014
1901-03-01,Qatar,3,1901,22.281
1901-03-01,Romania,3,1901,4.724
1901-03-01,Saudi Arabia,3,1901,22.35
